movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
The Last of the Mohicans,"Director Michael Mann based this lushly romantic version of the James Fenimore Cooper novel more on his memory of the 1936 film version (starring Randolph Scott) than on Cooper's novel (in fact, Philip Dunne's 1936 screenplay is cited as source material for this film). Set in the 1750s during the French and Indian War, the story concerns Hawkeye (Daniel Day-Lewis), the European-born adopted son of Mohican scout Chingachgook (Russell Means). Hawkeye and his party, which also includes the Mohican Uncas (Eric Schweig), joins up with a group of Britons who have recently arrived in the Colonies. The group consists of Cora Munro (Madeleine Stowe) and her younger sister, Alice (Jodhi May), who are rescued from a Huron war party by Hawkeye. Hawkeye's band accompanies them to the British Fort William Henry, which is being besieged by a French and Huron force. The fort falls to the French, and Colonel Munro (Maurice Roeves) surrenders to French General Montcalm (Patrice Chéreau). The terms of the surrender are that the British merely abandon the fort and return to their homes. However, the French's bloodthirsty ally, the Huron warrior Magua (Wes Studi), has made no such agreement, and, as the British retreat from the fort, he plans to massacre them in a terrible Huron attack. ~ Paul Brenner, Rovi",The Last of the Mohicans is a breathless romantic adventure that plays loose with history -- and comes out with a richer action movie for it.,R,"Action & Adventure, Drama, Romance",Michael Mann,"Michael Mann, Christopher Crowe, Philip Dunne","Daniel Day-Lewis, Jodhi May, Russell Means, Eric Schweig, Steven Waddington, Wes Studi, Patrice Chéreau, Maurice Roëves, Edward Blatchford, Terry Kinney, Tracey Ellis, Michael Phillips, Pete Postlethwaite, Madeleine Stowe, Bonnie Timmermann, Justin M. Rice, Benton Jennings, Dylan Baker, Dennis J. Banks, Colm Meaney, Mac Andrews, Malcolm Storry, David Schofield, Eric D. Sandgren, Mike Phillips, Mark A. Baker, Tim Hopper, Gregory Zaragoza, Scott Means, William J. Bozic Jr., Patrick Fitzgerald, Mark Joy, Steve Keator, Don Tilley, Thomas E. Cummings, David Mark Farrow, Ethan James Fugate, Curtis F. Gaston, Eric A. Hurley, Jared Harris, Michael McConnell, Thomas John McGowan, Alice Papineau, Mark J. Maracle, Clark Heathcliffe Brolly, Sebastian Roche, Joe Finnegan, Sheila Adams Barnhill",1992-09-25,1999-11-23,114.0,Twentieth Century Fox Home Entertainment,Certified Fresh,95,40,88.0,207338.0
Darling,"DARLING follows a lonely young woman who moves into an old, mysterious Manhattan mansion. Hired as caretaker, it's not long before she discovers the estate's haunted reputation and troubling past - stories that slowly transform into a backdrop for her twisted and violent descent into madness... Mickey Keating's new feature is a chilling black‐and‐white psychological horror story beautifully shot in New York City. Edited like a nightmare and scored like a hallucination, DARLING stars Lauren Ashley Carter (POD, JUG FACE) with supporting performances by Brian Morvant, Sean Young, Larry Fessenden, John Speredakos, and Helen Rogers. Produced by Fessenden and Jenn Wexler for Glass Eye Pix and Sean Fowler for Alexander Groupe; Keating and Carter are also producers.","Darling's classic inspirations will be obvious to most hardcore horror fans, but they're deployed with enough wit and flair to stand on their own chilling merits.",NR,"Horror, Mystery & Suspense",Mickey Keating,Mickey Keating,"Lauren Ashley Carter, Sean Young, Brian Morvant, Larry Fessenden, John Speredakos, Nisa Petty, Helen Rogers, Meg Gardner, AnnaBelle Duffy, Mickael Zarka, Tara Duffy",2016-04-01,2016-05-24,78.0,Glass Eye Pix,Fresh,71,28,45.0,484.0
Neverwas,"A man seeks to unlock the mysteries of his family's tragic past in this drama. Zach Riley (Aaron Eckhart) is a psychiatrist who has resigned a prestigious position at a major university to take a job at the Millwood Clinic, a private residential facility run by one Dr. Reed (William Hurt). Riley tells Reed he was inspired to come to Millwood by the case of a family friend who was a patient there years before, but what Riley doesn't mention is the person in question was his father, T.L. Pierson (Nick Nolte), a successful but reclusive children's author whose book ""Neverwas"" became a remarkable critical and popular success. For all his talent and success, Pierson was haunted by mental illness and drug addiction, and after leaving Millwood he committed suicide, with young Zach finding the body. Ever since, his mother (Jessica Lange) has been bitter and blamed Zach for Pierson's death, and he's come to Millbrook looking for answers and closure regarding his dad. While working with the patients at Millwood, Riley strikes up a friendship with Gabriel (Ian McKellen), a charming older man with a poor connection to reality who was friendly with Pierson when they were both in treatment there; Riley also renews his childhood friendship with Maggie Blake (Brittany Murphy), a Millwood intern who was powerfully affected by ""Neverwas"" when she was young. Neverwas is the first feature film from writer and director Joshua Michael Stern.",,PG-13,"Drama, Mystery & Suspense",Joshua Michael Stern,Joshua Michael Stern,"Aaron Eckhart, Ian McKellen, Brittany Murphy, William Hurt, Nick Nolte, Alan Cumming, Jessica Lange, Bill Bellamy, Vera Farmiga, Michael Moriarty, Cynthia Stevenson, Ryan Drescher, Suzanne Bastien, Lorena Gale, Tim Henry, Camille Sullivan, Mark Tisdale",2005-09-09,2007-07-03,102.0,Senator Film,Rotten,14,7,65.0,4058.0
The Boxtrolls,"A family event movie from the creators of ""Coraline"" and ""ParaNorman"" that introduces audiences to a new breed of family - The Boxtrolls, a community of quirky, mischievous creatures who have lovingly raised an orphaned human boy named Eggs (voiced by Isaac Hempstead-Wright) in the amazing cavernous home they've built beneath the streets of Cheesebridge. When the town's villain, Archibald Snatcher (Academy Award winner Ben Kingsley), comes up with a plot to get rid of the Boxtrolls, Eggs decides to venture above ground, ""into the light,"" where he meets and teams up with fabulously feisty Winnifred (Elle Fanning). Together, they devise a daring plan to save Eggs' family. Directors: Anthony Staachi and Graham Annable. (C) Focus","While it's far from Laika's best offering, The Boxtrolls is still packed with enough offbeat wit and visual splendor to offer a healthy dose of all-ages entertainment.",PG,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy","Anthony Stacchi, Graham Annable, Aaron Sorenson","Adam Pava, Irena Brignull, Anthony Stacchi, Phil Dale","Ben Kingsley, Toni Collette, Elle Fanning, Jared Harris, Isaac Hempstead Wright, Simon Pegg, Nick Frost, Richard Ayoade, Tracy Morgan, Dee Bradley Baker, Steve Blum, Nika Futterman, Patrick Fraley, Fred Tatasciore, Max Mitchell, Maurice LaMarche, James Urbaniak, Brian George, Lori Tritel, Laraine Newman, Reckless Jack",2014-09-26,2015-01-20,97.0,Focus Features,Certified Fresh,77,167,63.0,47389.0
Titan A.E.,"Titan A.E. combines cel and CG imagery in this science fiction saga. In 3028, after the Earth is destroyed by an invading alien race, a tiny number of surviving humans roam the universe in ragtag spaceships, trying to find each other and maintain some sense of community. Shortly before the final destruction of the planet, Cale (voice of Matt Damon) was given a map that would guide him to a space station called Titan, secretly constructed as a last hope in the event of alien Armageddon. Cale sets out in search of Titan and the fabled Ice Planet with the help of his friend Korso (voice of Bill Pullman), the beautiful Akima (voice of Drew Barrymore), and a crew of friendly aliens. Titan A.E. was directed by noted animators Don Bluth and Gary Goldman and scripted by Ben Edlund, creator of the comic book series The Tick. Other members of the voice cast include Nathan Lane, Janeane Garofalo, John Leguizamo, and Tone Loc. ~ Mark Deming, Rovi","Great visuals, but the story feels like a cut-and-paste job of other sci-fi movies.",PG,"Animation, Kids & Family, Science Fiction & Fantasy","Don Bluth, Gary Goldman","Ben Edlund, John August, Joss Whedon","Matt Damon, Bill Pullman, Drew Barrymore, John Leguizamo, Janeane Garofalo, Nathan Lane, Ron Perlman, Tone Loc, Alex D. Linz, Jim Breuer, Chris Scarabosio, Charles Rocket, Ken Hudson Campbell, Tsai Chin, Crystal Scales, David L. Lander, Thomas A. Chantler, Elaine A. Clark, Roy Conrad, Jim Cummings, Leslie Hedger, Roger L. Jackson, Shanon Orrock, Alex Pels, Eric Schniewind, Stephen W. Stanton",2000-06-16,2001-03-06,95.0,20th Century Fox,Rotten,51,100,60.0,69351.0
Anatomie,"Medical student Paula Henning wins a place at an exclusive Heidelberg medical school. When the body of a young man she met on the train turns up on her dissection table, she begins to investigate the mysterious circumstances surrounding his death, and uncovers a gruesome conspiracy perpetrated by an Antihippocratic secret society operating within the school.",,R,"Art House & International, Horror, Mystery & Suspense",Stefan Ruzowitzky,Stefan Ruzowitzky,"Franka Potente, Benno Fürmann, Anna Loos, Sebastian Blomberg, Holger Speckhahn, Traugott Buhre, Arndt Schwering-Sohnrey, Oliver Wnuk, Antonia Cacilia Holfelder, Rüdiger Vogler, Barbara-Magdalena Ahren, Werner Dissel, Gennadiy Vengerov, Thomas Meinhardt, Simon Schwarz, Sabrina Setlur, Andreas Günther",2000-01-01,2001-04-03,100.0,Columbia TriStar Film Distribu,Rotten,58,12,47.0,6086.0
"Big Mommas: Like Father, Like Son","Martin Lawrence reprises the role of FBI agent Malcolm Turner -- aka, undercover grandma Big Momma -- in this installment in the Big Momma's House franchise, Big Mommas: Like Father, Like Son. Malcolm's latest assignment teams him up with his teenage stepson, Trent (Brandon T. Jackson), who unwittingly makes himself a target when he witnesses a murder. In order to keep Trent out of harm's way and solve the case behind the killing that Trent saw, the two have no choice but to go undercover at an all-girls performing arts school, with Malcolm posing as the titular rotund old lady, Big Momma, and Trent dressing up as a heavy female student named Charmaine.","Unnecessary, unfunny, and generally unwelcome, Big Mommas: Like Father, Like Son offers more of the same for fans of Martin Lawrence's perplexingly popular series.",PG-13,Comedy,John Whitesell,Matthew Fogel,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang, Portia Doubleday, Ana Ortiz, Emily Rios, Jasmine Burke, Tony Curran, Ken Jeong, Faizon Love",2011-02-18,2011-06-14,107.0,20th Century Fox,Rotten,5,60,58.0,132093.0
Salvation Boulevard,"Salvation Boulevard is a modern comedy based on the book of the same title by Larry Beinhart about Pastor Dan Day, a charismatic evangelical preacher (Pierce Brosnan) who has captivated a small western American town with his charm - and the promise of a sweet real estate development. Carl (Greg Kinnear) is a former follower - not of Christ, but of the Grateful Dead - who has since become ""found"" in Dan's Evangelical community, serving as one of the preacher's great examples of spiritual and moral transformation. But Carl's new belief system is turned upside down when he witnesses a sinful act that Pastor Dan's doughy henchman (Jim Gaffigan) aims to cover up. -- (C) IFC",,R,"Comedy, Mystery & Suspense",George Ratliff,"George Ratliff, Doug Max Stone","Pierce Brosnan, Jennifer Connelly, Ed Harris, Greg Kinnear, Marisa Tomei, Isabelle Fuhrman, Ciarán Hinds, Jim Gaffigan, Yul Vázquez",2011-07-15,2012-09-18,95.0,IFC Films,Rotten,21,34,23.0,1325.0
I Dreamed of Africa,"""I Dreamed of Africa"" is inspired by the true story of the indomitable Kuki Gallmann, a beautiful, inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the wilds of Africa with her son Emanuele and her husband Paolo. Though first in awe of the incredible power of nature and sense of freedom in the wide open Kenyan countryside, Kuki soon discovers that life in rural Africa is not a fairy tale existence. Wild elephants and lions roam the land unhindered, devastating storms destroy all in their path and desperate poachers ruthlessly murder endangered animals. Yet through the most trying of setbacks, Kuki emerges as resilient, filled with the strength of desire to take on life lovingly and fearlessly.",The straightforward retelling of Kuki Gallman's life in Africa neither moves or entertains the viewer.,PG-13,Drama,Hugh Hudson,"Susan Shilliday, Paula Milne","Kim Basinger, Vincent Perez (III), Eva Marie Saint, Liam Aiken, Garrett Strommen, Daniel Craig, Lance Reddick, Connie Chiume, James Ngobese, Allison Daugherty Smith, Federico Scribani, Joko Scott, Sabelo Ngobese, Zacharia Phali, Nick Boraine, Susan Danford, Susan Monteregge, Jessica Perritt, Steven Jennings, Patrick Lyster, Winston Ntshona, John Carson, Shannon Esrechowitz, Michael Brosnihan, Theo Landey, Nick Lorentz, Valeria Cavalli, Paolo Lorimer, Sophie Hayden, Giselda Volodi, Daniela Foa, Nathi Khunene, Patrick Bokaba, Dominic Dimba, Ernest Ndlovu, Patrick Mofokeng, Kenneth Kambule, Rayburn Sengwayo, Emma Vaughan Jones, Dixie Cornell, Frances Slabolepszy, Frances Nacman, Nadine Maharaj",2000-05-05,2000-08-29,115.0,Columbia Pictures,Rotten,10,101,56.0,5528.0
Carousel,"Carousel was adapted from the 1945 Rodgers and Hammerstein Broadway musical of the same name--which, in turn, was based on Liliom, a play by Ferenc Molnar. Gordon MacRae stars as carnival barker Billy Bigelow, who much against his will falls in love with Maine factory girl Julie Jordan (Shirley Jones). Billy proves an improvident and unreliable husband, but Julie stands by him. Upon discovering that Julie is pregnant, the unemployed Billy sees an opportunity for some quick money by joining his unsavory pal Jigger (Cameron Mitchell). The scheme goes awry, and Billy dies. Standing before the Pearly Gates, Billy is given a chance to redeem himself by the kindly Starkeeper (Gene Lockhart). He is allowed to return to Earth to try to brighten the life of his unhappy 15-year-old daughter Louise (Susan Luckey). Billy offers Louise a star that he has stolen from the sky; when Louise backs off in fear, Billy slaps her. He feels like a failure until he and his Heavenly Friend (William LeManessa) attend Louise's school graduation ceremony. There the invisible Billy watches as the principal (Gene Lockhart again) inspires Louise (and, by extension, Julie) by assuring her that so long as she has hope in her heart, she'll never walk alone. Frank Sinatra, the film's original Billy Bigelow, dropped out of the production due to laryngitis. ~ Hal Erickson, Rovi",,G,"Drama, Horror, Musical & Performing Arts, Romance",Henry King,"Henry Ephron, Phoebe Ephron, Benjamin Glazer","Gordon MacRae, Shirley Jones, Cameron Mitchell, Barbara Ruick, Claramae Turner, Robert Rounseville, Gene Lockhart, Audrey Christie, Susan Luckey, John Dehner, William LeMassena, Jacques d'Amboise, Frank Tweddell, Richard Deacon, Dee Pollock, Sylvia Stanton, Mary Orozco, Tor Johnson, Harry Johnson, Marion Dempsey, Ed Mundy, Angelo Rossitto",1956-02-16,1999-04-27,128.0,20th Century Fox,Fresh,83,6,61.0,9115.0
Days of Heaven,"Terrence Malick's Days of Heaven, the long-awaited follow-up to his 1973 debut Badlands, confirmed his reputation as a visual poet and narrative iconoclast with a story of love and murder told through the jaded voice of a child and expressive images of nature. In 1916, Chicago steelworker Bill (Richard Gere, stepping in for John Travolta) flees to Texas with his little sister Linda (Linda Manz) and girlfriend Abby (Brooke Adams) after fatally erupting at his boss. Along with other itinerant laborers, they work the harvest at a wealthy, ailing farmer's ranch, but the farmer (playwright Sam Shepard) falls in love with Abby, and, believing her to be Bill's sister, asks the three to stay on at his elysian spread. Seeing it as his one real chance to escape perpetual poverty, Bill urges Abby to marry the sick man. Marriage, however, has more restorative powers, and the farmer has more magnetism, than Bill had planned. ""Nobody's perfect,"" Linda impassively observes in one of her many voiceovers, after their brief paradise is erased by plagues of locusts, fire, and lethal jealousy. ~ Lucia Bozzola, Rovi","Illuminated by magic hour glow and wistful performances, Days of Heaven is a visual masterpiece that finds eloquent poetry in its spare scenario.",PG,Drama,Terrence Malick,Terrence Malick,"Richard Gere, Brooke Adams, Sam Shepard, Linda Manz, Robert J. Wilke, Stuart Margolin, Tim Scott, Gene Bell, Bob Wilke, Jackie Shultis, Timothy Scott, Doug Kershaw, Richard Libertini, Frenchie Lemond, Sahbra Markus, Bob Wilson, John K. Wilkinson, Muriel Jolliffe, John Wilkinson, King Cole",1978-09-13,1999-03-30,93.0,Paramount Pictures,Certified Fresh,92,52,89.0,16243.0
The Pirate,"On a Caribbean isle in the early 19th century, sheltered young Manuela comes to believe that traveling troubadour Serafin is in reality ""Mack the Black,"" a notorious pirate. Serafin realizes that the surest way to win Manuela's heart is to impersonate the romantic buccaneer, and this is what he does--nearly getting himself hanged in the process.",,NR,"Action & Adventure, Classics, Comedy, Musical & Performing Arts, Romance",Vincente Minnelli,"Albert Hackett, Frances Goodrich, Lillian Braun, Joseph L. Mankiewicz, Wilkie Mahoney, Joseph Than, Anita Loos, S.N. Behrmann","Judy Garland, Gene Kelly, Walter Slezak, Gladys Cooper, Reginald Owen, George Zucco, Lester Allen, Ellen Ross, Lola Deem, Mary Jo Ellis, Jean Dean, Marion Murray, Ben Lessy, Jerry Bergen, Val Setz, Fayard Nicholas, Harold Nicholas, Cully Richards",1948-05-20,2007-07-24,102.0,Metro-Goldwyn-Mayer (MGM),Fresh,73,15,75.0,5107.0
The White Ribbon (Das weisse Band),"Set in a Northern German village before World War I during the decline of the Austro-Hungarian empire, depicts the emergence of national socialism.",The White Ribbon effectively utilizes tension and a bleak atmosphere to deliver a thought-provoking examination of nascent fascism.,R,"Art House & International, Drama",Michael Haneke,Michael Haneke,"Christian Friedel, Ulrich Tukur, Leonie Benesch, Ursina Lardi, Fion Mutert, Michael Kranz, Burghart Klaussner, Maria-Victoria Dragus, Steffi Kühnert, Leonard Proxauf, Levin Henning, Johanna Busse, Yuma Amecke, Thibault Serie, Gabriela Maria Schmeide, Janina Fautz, Enno Trebs, Josef Bierbichler, Theo Trebs, Rainer Bock, Roxane Duran, Miljan Chatelain, Eddy Grahl, Susanne Lothar, Branko Samarovski, Birgit Minichmayr, Kai Malina, Kristina Kneppek, Stephanie Amarell, Sebastian Hülk, Bianca Mey, Aaron Denkel, Mika Ahrens, Ernst Jacobi, Detlev Buck, Anne-Kathrin Gummich, Luzie Ahrens, Gary Bestla, Leonard Boes, Sophie Czech, Paraschiva Dragus, Selina Ewald, Nora Gruler, Tim Guderjahn, Jonas Jennerjahn, Ole Joensson, Gerrit Langentepe, Lena Pankow, Sebastian Pauli, Franz Rewoldt, Alexander Sedl, Nino Seide, Marvin Ray Spey, Malin Steffen, Lilli Trebs, Paul Wolf, Margarete Zimmermann, Michael Schenk, Hanus Polak Jr., Arndt Schwering-Sohnrey, Florian Kohler",2009-12-30,2010-06-29,144.0,Sony Pictures Classics,Certified Fresh,86,146,79.0,89989.0
